"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2016-12-18,1,2016-12-25,"pmf","[0.0,0.1)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[0.1,0.2)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[0.2,0.3)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[0.3,0.4)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[0.4,0.5)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[0.5,0.6)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[0.6,0.7)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[0.7,0.8)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[0.8,0.9)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[0.9,1.0)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.0,1.1)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.1,1.2)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.2,1.3)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.3,1.4)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.4,1.5)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.5,1.6)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.6,1.7)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.7,1.8)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.8,1.9)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[1.9,2.0)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[2.0,2.1)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[2.1,2.2)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[2.2,2.3)",0.00046926
"US National",2016-12-18,1,2016-12-25,"pmf","[2.3,2.4)",0.00068465
"US National",2016-12-18,1,2016-12-25,"pmf","[2.4,2.5)",0.0031615
"US National",2016-12-18,1,2016-12-25,"pmf","[2.5,2.6)",0.0067153
