"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.0,0.1)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.1,0.2)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.2,0.3)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.3,0.4)",0.012
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.4,0.5)",0.008
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.5,0.6)",0.018
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.6,0.7)",0.034
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.7,0.8)",0.142
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.8,0.9)",0.174
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.9,1.0)",0.192
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.0,1.1)",0.17
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.1,1.2)",0.106
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.2,1.3)",0.066
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.3,1.4)",0.012
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.4,1.5)",0.02
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.5,1.6)",0.01
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.6,1.7)",0.008
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.7,1.8)",0.014
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.8,1.9)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.9,2.0)",0.002
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.0,2.1)",0.006
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.1,2.2)",0.002
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.2,2.3)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.3,2.4)",0.002
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.4,2.5)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.5,2.6)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.6,2.7)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.7,2.8)",0
