"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.0,0.1)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.1,0.2)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.2,0.3)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.3,0.4)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.4,0.5)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.5,0.6)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.6,0.7)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.7,0.8)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.8,0.9)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[0.9,1.0)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.0,1.1)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.1,1.2)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.2,1.3)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.3,1.4)",0.00082
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.4,1.5)",0.00338
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.5,1.6)",0.00136
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.6,1.7)",0
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.7,1.8)",2e-05
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.8,1.9)",0.00026
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[1.9,2.0)",6e-04
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.0,2.1)",0.00086
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.1,2.2)",0.00256
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.2,2.3)",0.01732
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.3,2.4)",0.03346
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.4,2.5)",0.02582
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.5,2.6)",0.01662
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.6,2.7)",0.02468
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.7,2.8)",0.03132
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.8,2.9)",0.02662
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[2.9,3.0)",0.02012
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.0,3.1)",0.0195
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.1,3.2)",0.02758
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.2,3.3)",0.0359
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.3,3.4)",0.04578
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.4,3.5)",0.0499
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.5,3.6)",0.05138
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.6,3.7)",0.05386
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.7,3.8)",0.04826
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.8,3.9)",0.03754
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[3.9,4.0)",0.02192
"HHS Region 1","2019-03-03",1,"2019-03-10","pmf","[4.0,4.1)",0.0158
