"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.0,0.1)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.1,0.2)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.2,0.3)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.3,0.4)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.4,0.5)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.5,0.6)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.6,0.7)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.7,0.8)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.8,0.9)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[0.9,1.0)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.0,1.1)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.1,1.2)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.2,1.3)",0
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.3,1.4)",0.00034
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.4,1.5)",0.00198
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.5,1.6)",0.00102
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.6,1.7)",4e-05
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.7,1.8)",2e-05
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.8,1.9)",6e-05
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[1.9,2.0)",0.00036
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[2.0,2.1)",0.00054
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[2.1,2.2)",0.00242
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[2.2,2.3)",0.01722
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[2.3,2.4)",0.03788
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[2.4,2.5)",0.02926
"HHS Region 1","2019-02-24",1,"2019-03-03","pmf","[2.5,2.6)",0.01842
