"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2014-09-28",1,"2014-10-05","pmf","[0,0.1)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[0.1,0.2)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[0.2,0.3)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[0.3,0.4)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[0.4,0.5)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[0.5,0.6)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[0.6,0.7)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[0.7,0.8)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[0.8,0.9)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[0.9,1)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[1,1.1)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[1.1,1.2)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[1.2,1.3)",0.79481344666702
"US National","2014-09-28",1,"2014-10-05","pmf","[1.3,1.4)",0.204600093333334
"US National","2014-09-28",1,"2014-10-05","pmf","[1.4,1.5)",1.57566666666667e-05
"US National","2014-09-28",1,"2014-10-05","pmf","[1.5,1.6)",0.00033054999999999
"US National","2014-09-28",1,"2014-10-05","pmf","[1.6,1.7)",5.73433333333333e-05
"US National","2014-09-28",1,"2014-10-05","pmf","[1.7,1.8)",0.00017989666666666
"US National","2014-09-28",1,"2014-10-05","pmf","[1.8,1.9)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[1.9,2)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2,2.1)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2.1,2.2)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2.2,2.3)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2.3,2.4)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2.4,2.5)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2.5,2.6)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2.6,2.7)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2.7,2.8)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2.8,2.9)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[2.9,3)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3,3.1)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3.1,3.2)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3.2,3.3)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3.3,3.4)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3.4,3.5)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3.5,3.6)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3.6,3.7)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3.7,3.8)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3.8,3.9)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[3.9,4)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4,4.1)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4.1,4.2)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4.2,4.3)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4.3,4.4)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4.4,4.5)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4.5,4.6)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4.6,4.7)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4.7,4.8)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4.8,4.9)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[4.9,5)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[5,5.1)",0
"US National","2014-09-28",1,"2014-10-05","pmf","[5.1,5.2)",0
