"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2015-03-29,1,2015-04-05,"pmf","[0.0,0.1)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[0.1,0.2)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[0.2,0.3)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[0.3,0.4)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[0.4,0.5)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[0.5,0.6)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[0.6,0.7)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[0.7,0.8)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[0.8,0.9)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[0.9,1.0)",0.00170541746485616
"US National",2015-03-29,1,2015-04-05,"pmf","[1.0,1.1)",0.0119672672837901
"US National",2015-03-29,1,2015-04-05,"pmf","[1.1,1.2)",0.0437458989811341
"US National",2015-03-29,1,2015-04-05,"pmf","[1.2,1.3)",0.077510695159562
"US National",2015-03-29,1,2015-04-05,"pmf","[1.3,1.4)",0.104985970481224
"US National",2015-03-29,1,2015-04-05,"pmf","[1.4,1.5)",0.130475081321802
"US National",2015-03-29,1,2015-04-05,"pmf","[1.5,1.6)",0.12948199908126
"US National",2015-03-29,1,2015-04-05,"pmf","[1.6,1.7)",0.120213231502868
"US National",2015-03-29,1,2015-04-05,"pmf","[1.7,1.8)",0.092075901354178
"US National",2015-03-29,1,2015-04-05,"pmf","[1.8,1.9)",0.07486247585145
"US National",2015-03-29,1,2015-04-05,"pmf","[1.9,2.0)",0.0619524067244041
"US National",2015-03-29,1,2015-04-05,"pmf","[2.0,2.1)",0.0450700086351901
"US National",2015-03-29,1,2015-04-05,"pmf","[2.1,2.2)",0.0404356248459941
"US National",2015-03-29,1,2015-04-05,"pmf","[2.2,2.3)",0.0199119252081261
"US National",2015-03-29,1,2015-04-05,"pmf","[2.3,2.4)",0.0136224043513601
"US National",2015-03-29,1,2015-04-05,"pmf","[2.4,2.5)",0.0122982946973041
"US National",2015-03-29,1,2015-04-05,"pmf","[2.5,2.6)",0.00435363677296816
"US National",2015-03-29,1,2015-04-05,"pmf","[2.6,2.7)",0.00302952711891216
"US National",2015-03-29,1,2015-04-05,"pmf","[2.7,2.8)",0.00302952711891216
"US National",2015-03-29,1,2015-04-05,"pmf","[2.8,2.9)",0.00170541746485616
"US National",2015-03-29,1,2015-04-05,"pmf","[2.9,3.0)",0.00137439005134216
"US National",2015-03-29,1,2015-04-05,"pmf","[3.0,3.1)",0.00071233522431416
"US National",2015-03-29,1,2015-04-05,"pmf","[3.1,3.2)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[3.2,3.3)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[3.3,3.4)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[3.4,3.5)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[3.5,3.6)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[3.6,3.7)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[3.7,3.8)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[3.8,3.9)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[3.9,4.0)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.0,4.1)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.1,4.2)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.2,4.3)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.3,4.4)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.4,4.5)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.5,4.6)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.6,4.7)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.7,4.8)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.8,4.9)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[4.9,5.0)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.0,5.1)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.1,5.2)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.2,5.3)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.3,5.4)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.4,5.5)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.5,5.6)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.6,5.7)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.7,5.8)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.8,5.9)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[5.9,6.0)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.0,6.1)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.1,6.2)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.2,6.3)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.3,6.4)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.4,6.5)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.5,6.6)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.6,6.7)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.7,6.8)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.8,6.9)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[6.9,7.0)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.0,7.1)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.1,7.2)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.2,7.3)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.3,7.4)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.4,7.5)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.5,7.6)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.6,7.7)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.7,7.8)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.8,7.9)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[7.9,8.0)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.0,8.1)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.1,8.2)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.2,8.3)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.3,8.4)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.4,8.5)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.5,8.6)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.6,8.7)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.7,8.8)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.8,8.9)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[8.9,9.0)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[9.0,9.1)",5.02803972861667e-05
"US National",2015-03-29,1,2015-04-05,"pmf","[9.1,9.2)",5.02803972861667e-05
