"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2016-11-20,1,2016-11-27,"pmf","[0.0,0.1)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[0.1,0.2)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[0.2,0.3)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[0.3,0.4)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[0.4,0.5)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[0.5,0.6)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[0.6,0.7)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[0.7,0.8)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[0.8,0.9)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[0.9,1.0)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[1.0,1.1)",2e-04
"US National",2016-11-20,1,2016-11-27,"pmf","[1.1,1.2)",9e-04
"US National",2016-11-20,1,2016-11-27,"pmf","[1.2,1.3)",0.0073
"US National",2016-11-20,1,2016-11-27,"pmf","[1.3,1.4)",0.023
"US National",2016-11-20,1,2016-11-27,"pmf","[1.4,1.5)",0.0608
"US National",2016-11-20,1,2016-11-27,"pmf","[1.5,1.6)",0.1107
"US National",2016-11-20,1,2016-11-27,"pmf","[1.6,1.7)",0.145
"US National",2016-11-20,1,2016-11-27,"pmf","[1.7,1.8)",0.1612
"US National",2016-11-20,1,2016-11-27,"pmf","[1.8,1.9)",0.1543
"US National",2016-11-20,1,2016-11-27,"pmf","[1.9,2.0)",0.1275
"US National",2016-11-20,1,2016-11-27,"pmf","[2.0,2.1)",0.0861
"US National",2016-11-20,1,2016-11-27,"pmf","[2.1,2.2)",0.0562
"US National",2016-11-20,1,2016-11-27,"pmf","[2.2,2.3)",0.0348
"US National",2016-11-20,1,2016-11-27,"pmf","[2.3,2.4)",0.0164
"US National",2016-11-20,1,2016-11-27,"pmf","[2.4,2.5)",0.0077
"US National",2016-11-20,1,2016-11-27,"pmf","[2.5,2.6)",0.0043
"US National",2016-11-20,1,2016-11-27,"pmf","[2.6,2.7)",0.0021
"US National",2016-11-20,1,2016-11-27,"pmf","[2.7,2.8)",0.001
"US National",2016-11-20,1,2016-11-27,"pmf","[2.8,2.9)",4e-04
"US National",2016-11-20,1,2016-11-27,"pmf","[2.9,3.0)",1e-04
"US National",2016-11-20,1,2016-11-27,"pmf","[3.0,3.1)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[3.1,3.2)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[3.2,3.3)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[3.3,3.4)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[3.4,3.5)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[3.5,3.6)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[3.6,3.7)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[3.7,3.8)",0
"US National",2016-11-20,1,2016-11-27,"pmf","[3.8,3.9)",0
