"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2018-02-18,1,2018-02-25,"pmf","[0.0,0.1)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[0.1,0.2)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[0.2,0.3)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[0.3,0.4)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[0.4,0.5)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[0.5,0.6)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[0.6,0.7)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[0.7,0.8)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[0.8,0.9)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[0.9,1.0)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.0,1.1)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.1,1.2)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.2,1.3)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.3,1.4)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.4,1.5)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.5,1.6)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.6,1.7)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.7,1.8)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.8,1.9)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[1.9,2.0)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[2.0,2.1)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[2.1,2.2)",1e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[2.2,2.3)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[2.3,2.4)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[2.4,2.5)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[2.5,2.6)",3e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[2.6,2.7)",6e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[2.7,2.8)",0.0011
"US National",2018-02-18,1,2018-02-25,"pmf","[2.8,2.9)",0.0028
"US National",2018-02-18,1,2018-02-25,"pmf","[2.9,3.0)",0.0038
"US National",2018-02-18,1,2018-02-25,"pmf","[3.0,3.1)",0.0051
"US National",2018-02-18,1,2018-02-25,"pmf","[3.1,3.2)",0.0091
"US National",2018-02-18,1,2018-02-25,"pmf","[3.2,3.3)",0.0134
"US National",2018-02-18,1,2018-02-25,"pmf","[3.3,3.4)",0.02
"US National",2018-02-18,1,2018-02-25,"pmf","[3.4,3.5)",0.0294
"US National",2018-02-18,1,2018-02-25,"pmf","[3.5,3.6)",0.038
"US National",2018-02-18,1,2018-02-25,"pmf","[3.6,3.7)",0.0472
"US National",2018-02-18,1,2018-02-25,"pmf","[3.7,3.8)",0.0557
"US National",2018-02-18,1,2018-02-25,"pmf","[3.8,3.9)",0.0544
"US National",2018-02-18,1,2018-02-25,"pmf","[3.9,4.0)",0.0706
"US National",2018-02-18,1,2018-02-25,"pmf","[4.0,4.1)",0.0688
"US National",2018-02-18,1,2018-02-25,"pmf","[4.1,4.2)",0.0695
"US National",2018-02-18,1,2018-02-25,"pmf","[4.2,4.3)",0.0646
"US National",2018-02-18,1,2018-02-25,"pmf","[4.3,4.4)",0.0645
"US National",2018-02-18,1,2018-02-25,"pmf","[4.4,4.5)",0.0616
"US National",2018-02-18,1,2018-02-25,"pmf","[4.5,4.6)",0.057
"US National",2018-02-18,1,2018-02-25,"pmf","[4.6,4.7)",0.0491
"US National",2018-02-18,1,2018-02-25,"pmf","[4.7,4.8)",0.0411
"US National",2018-02-18,1,2018-02-25,"pmf","[4.8,4.9)",0.0359
"US National",2018-02-18,1,2018-02-25,"pmf","[4.9,5.0)",0.0298
"US National",2018-02-18,1,2018-02-25,"pmf","[5.0,5.1)",0.0231
"US National",2018-02-18,1,2018-02-25,"pmf","[5.1,5.2)",0.0188
"US National",2018-02-18,1,2018-02-25,"pmf","[5.2,5.3)",0.0177
"US National",2018-02-18,1,2018-02-25,"pmf","[5.3,5.4)",0.0111
"US National",2018-02-18,1,2018-02-25,"pmf","[5.4,5.5)",0.0098
"US National",2018-02-18,1,2018-02-25,"pmf","[5.5,5.6)",0.0064
"US National",2018-02-18,1,2018-02-25,"pmf","[5.6,5.7)",0.0051
"US National",2018-02-18,1,2018-02-25,"pmf","[5.7,5.8)",0.0042
"US National",2018-02-18,1,2018-02-25,"pmf","[5.8,5.9)",0.0036
"US National",2018-02-18,1,2018-02-25,"pmf","[5.9,6.0)",0.0022
"US National",2018-02-18,1,2018-02-25,"pmf","[6.0,6.1)",0.0012
"US National",2018-02-18,1,2018-02-25,"pmf","[6.1,6.2)",0.0012
"US National",2018-02-18,1,2018-02-25,"pmf","[6.2,6.3)",7e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[6.3,6.4)",5e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[6.4,6.5)",3e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[6.5,6.6)",1e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[6.6,6.7)",2e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[6.7,6.8)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[6.8,6.9)",1e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[6.9,7.0)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[7.0,7.1)",2e-04
"US National",2018-02-18,1,2018-02-25,"pmf","[7.1,7.2)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[7.2,7.3)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[7.3,7.4)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[7.4,7.5)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[7.5,7.6)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[7.6,7.7)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[7.7,7.8)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[7.8,7.9)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[7.9,8.0)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.0,8.1)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.1,8.2)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.2,8.3)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.3,8.4)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.4,8.5)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.5,8.6)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.6,8.7)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.7,8.8)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.8,8.9)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[8.9,9.0)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.0,9.1)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.1,9.2)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.2,9.3)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.3,9.4)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.4,9.5)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.5,9.6)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.6,9.7)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.7,9.8)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.8,9.9)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[9.9,10.0)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.0,10.1)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.1,10.2)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.2,10.3)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.3,10.4)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.4,10.5)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.5,10.6)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.6,10.7)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.7,10.8)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.8,10.9)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[10.9,11.0)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.0,11.1)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.1,11.2)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.2,11.3)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.3,11.4)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.4,11.5)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.5,11.6)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.6,11.7)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.7,11.8)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.8,11.9)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[11.9,12.0)",0
"US National",2018-02-18,1,2018-02-25,"pmf","[12.0,12.1)",0
