"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2018-03-11",1,"2018-03-18","pmf","[0,0.1)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[0.1,0.2)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[0.2,0.3)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[0.3,0.4)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[0.4,0.5)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[0.5,0.6)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[0.6,0.7)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[0.7,0.8)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[0.8,0.9)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[0.9,1)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[1,1.1)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[1.1,1.2)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[1.2,1.3)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[1.3,1.4)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[1.4,1.5)",0
"US National","2018-03-11",1,"2018-03-18","pmf","[1.5,1.6)",2e-04
"US National","2018-03-11",1,"2018-03-18","pmf","[1.6,1.7)",0.0013
"US National","2018-03-11",1,"2018-03-18","pmf","[1.7,1.8)",0.0033
"US National","2018-03-11",1,"2018-03-18","pmf","[1.8,1.9)",0.0073
"US National","2018-03-11",1,"2018-03-18","pmf","[1.9,2)",0.0178
"US National","2018-03-11",1,"2018-03-18","pmf","[2,2.1)",0.0293
"US National","2018-03-11",1,"2018-03-18","pmf","[2.1,2.2)",0.0498
"US National","2018-03-11",1,"2018-03-18","pmf","[2.2,2.3)",0.0647
"US National","2018-03-11",1,"2018-03-18","pmf","[2.3,2.4)",0.0777
"US National","2018-03-11",1,"2018-03-18","pmf","[2.4,2.5)",0.0922
"US National","2018-03-11",1,"2018-03-18","pmf","[2.5,2.6)",0.0977
"US National","2018-03-11",1,"2018-03-18","pmf","[2.6,2.7)",0.0961
"US National","2018-03-11",1,"2018-03-18","pmf","[2.7,2.8)",0.0984
"US National","2018-03-11",1,"2018-03-18","pmf","[2.8,2.9)",0.083
"US National","2018-03-11",1,"2018-03-18","pmf","[2.9,3)",0.0683
"US National","2018-03-11",1,"2018-03-18","pmf","[3,3.1)",0.0577
"US National","2018-03-11",1,"2018-03-18","pmf","[3.1,3.2)",0.0423
"US National","2018-03-11",1,"2018-03-18","pmf","[3.2,3.3)",0.0352
"US National","2018-03-11",1,"2018-03-18","pmf","[3.3,3.4)",0.0239
"US National","2018-03-11",1,"2018-03-18","pmf","[3.4,3.5)",0.0187
"US National","2018-03-11",1,"2018-03-18","pmf","[3.5,3.6)",0.0121
"US National","2018-03-11",1,"2018-03-18","pmf","[3.6,3.7)",0.0083
"US National","2018-03-11",1,"2018-03-18","pmf","[3.7,3.8)",0.0047
"US National","2018-03-11",1,"2018-03-18","pmf","[3.8,3.9)",0.0034
"US National","2018-03-11",1,"2018-03-18","pmf","[3.9,4)",0.0031
"US National","2018-03-11",1,"2018-03-18","pmf","[4,4.1)",0.0014
"US National","2018-03-11",1,"2018-03-18","pmf","[4.1,4.2)",5e-04
"US National","2018-03-11",1,"2018-03-18","pmf","[4.2,4.3)",6e-04
"US National","2018-03-11",1,"2018-03-18","pmf","[4.3,4.4)",3e-04
"US National","2018-03-11",1,"2018-03-18","pmf","[4.4,4.5)",3e-04
"US National","2018-03-11",1,"2018-03-18","pmf","[4.5,4.6)",2e-04
