"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2017-11-12",1,"2017-11-19","pmf","[0,0.1)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[0.1,0.2)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[0.2,0.3)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[0.3,0.4)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[0.4,0.5)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[0.5,0.6)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[0.6,0.7)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[0.7,0.8)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[0.8,0.9)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[0.9,1)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[1,1.1)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[1.1,1.2)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[1.2,1.3)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[1.3,1.4)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[1.4,1.5)",3e-04
"US National","2017-11-12",1,"2017-11-19","pmf","[1.5,1.6)",0.0014
"US National","2017-11-12",1,"2017-11-19","pmf","[1.6,1.7)",0.0053
"US National","2017-11-12",1,"2017-11-19","pmf","[1.7,1.8)",0.0124
"US National","2017-11-12",1,"2017-11-19","pmf","[1.8,1.9)",0.0274
"US National","2017-11-12",1,"2017-11-19","pmf","[1.9,2)",0.0437
"US National","2017-11-12",1,"2017-11-19","pmf","[2,2.1)",0.0639
"US National","2017-11-12",1,"2017-11-19","pmf","[2.1,2.2)",0.0883
"US National","2017-11-12",1,"2017-11-19","pmf","[2.2,2.3)",0.0931
"US National","2017-11-12",1,"2017-11-19","pmf","[2.3,2.4)",0.1068
"US National","2017-11-12",1,"2017-11-19","pmf","[2.4,2.5)",0.1059
"US National","2017-11-12",1,"2017-11-19","pmf","[2.5,2.6)",0.1029
"US National","2017-11-12",1,"2017-11-19","pmf","[2.6,2.7)",0.0858
"US National","2017-11-12",1,"2017-11-19","pmf","[2.7,2.8)",0.0744
"US National","2017-11-12",1,"2017-11-19","pmf","[2.8,2.9)",0.0588
"US National","2017-11-12",1,"2017-11-19","pmf","[2.9,3)",0.0398
"US National","2017-11-12",1,"2017-11-19","pmf","[3,3.1)",0.0317
"US National","2017-11-12",1,"2017-11-19","pmf","[3.1,3.2)",0.019
"US National","2017-11-12",1,"2017-11-19","pmf","[3.2,3.3)",0.0132
"US National","2017-11-12",1,"2017-11-19","pmf","[3.3,3.4)",0.0091
"US National","2017-11-12",1,"2017-11-19","pmf","[3.4,3.5)",0.0071
"US National","2017-11-12",1,"2017-11-19","pmf","[3.5,3.6)",0.004
"US National","2017-11-12",1,"2017-11-19","pmf","[3.6,3.7)",0.0021
"US National","2017-11-12",1,"2017-11-19","pmf","[3.7,3.8)",0.0016
"US National","2017-11-12",1,"2017-11-19","pmf","[3.8,3.9)",0.0012
"US National","2017-11-12",1,"2017-11-19","pmf","[3.9,4)",4e-04
"US National","2017-11-12",1,"2017-11-19","pmf","[4,4.1)",3e-04
"US National","2017-11-12",1,"2017-11-19","pmf","[4.1,4.2)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[4.2,4.3)",9.99999999999999e-05
"US National","2017-11-12",1,"2017-11-19","pmf","[4.3,4.4)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[4.4,4.5)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[4.5,4.6)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[4.6,4.7)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[4.7,4.8)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[4.8,4.9)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[4.9,5)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[5,5.1)",0
"US National","2017-11-12",1,"2017-11-19","pmf","[5.1,5.2)",0
