"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.0,0.1)",0
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.1,0.2)",0
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.2,0.3)",0
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.3,0.4)",0.00018
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.4,0.5)",0.00012
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.5,0.6)",0.00046
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.6,0.7)",0.01178
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.7,0.8)",0.03988
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.8,0.9)",0.04426
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[0.9,1.0)",0.07106
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.0,1.1)",0.12608
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.1,1.2)",0.14558
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.2,1.3)",0.12274
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.3,1.4)",0.08858
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.4,1.5)",0.06824
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.5,1.6)",0.04972
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.6,1.7)",0.03336
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.7,1.8)",0.02898
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.8,1.9)",0.03216
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[1.9,2.0)",0.0344
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[2.0,2.1)",0.02954
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[2.1,2.2)",0.01554
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[2.2,2.3)",0.00838
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[2.3,2.4)",0.00462
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[2.4,2.5)",0.00412
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[2.5,2.6)",0.00314
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[2.6,2.7)",0.00248
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[2.7,2.8)",0.0023
"HHS Region 1",2011-11-27,1,2011-12-04,"pmf","[2.8,2.9)",0.0018
