"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.0,0.1)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.1,0.2)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.2,0.3)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.3,0.4)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.4,0.5)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.5,0.6)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.6,0.7)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.7,0.8)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.8,0.9)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[0.9,1.0)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.0,1.1)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.1,1.2)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.2,1.3)",0
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.3,1.4)",0.00154
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.4,1.5)",0.00564
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.5,1.6)",0.00256
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.6,1.7)",8e-05
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.7,1.8)",2e-04
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.8,1.9)",0.00038
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[1.9,2.0)",0.00142
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[2.0,2.1)",0.00276
"HHS Region 1",2019-01-27,1,2019-02-03,"pmf","[2.1,2.2)",0.00326
