"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.0,0.1)",0
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.1,0.2)",0
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.2,0.3)",0
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.3,0.4)",0
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.4,0.5)",0
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.5,0.6)",6e-05
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.6,0.7)",0.0011
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.7,0.8)",0.00104
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.8,0.9)",0.00082
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[0.9,1.0)",0.00386
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.0,1.1)",0.00294
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.1,1.2)",0.00428
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.2,1.3)",0.00968
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.3,1.4)",0.02856
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.4,1.5)",0.04756
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.5,1.6)",0.0566
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.6,1.7)",0.0454
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.7,1.8)",0.03088
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.8,1.9)",0.04202
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[1.9,2.0)",0.05982
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.0,2.1)",0.06352
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.1,2.2)",0.0675
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.2,2.3)",0.06814
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.3,2.4)",0.06752
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.4,2.5)",0.05408
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.5,2.6)",0.04312
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.6,2.7)",0.0342
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.7,2.8)",0.02538
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.8,2.9)",0.0212
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[2.9,3.0)",0.01664
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.0,3.1)",0.01466
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.1,3.2)",0.01238
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.2,3.3)",0.00966
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.3,3.4)",0.00772
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.4,3.5)",0.00608
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.5,3.6)",0.0039
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.6,3.7)",0.00384
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.7,3.8)",0.00308
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.8,3.9)",0.00428
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[3.9,4.0)",0.00556
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[4.0,4.1)",0.00698
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[4.1,4.2)",0.00824
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[4.2,4.3)",0.00938
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[4.3,4.4)",0.00874
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[4.4,4.5)",0.00786
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[4.5,4.6)",0.0085
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[4.6,4.7)",0.00716
"HHS Region 1",2013-12-01,1,2013-12-08,"pmf","[4.7,4.8)",0.00694
