"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.0,0.1)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.1,0.2)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.2,0.3)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.3,0.4)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.4,0.5)",0
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.5,0.6)",6e-05
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.6,0.7)",0.00446
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.7,0.8)",0.01556
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.8,0.9)",0.00482
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[0.9,1.0)",0.01326
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.0,1.1)",0.02554
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.1,1.2)",0.02754
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.2,1.3)",0.03328
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.3,1.4)",0.04746
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.4,1.5)",0.07694
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.5,1.6)",0.13048
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.6,1.7)",0.13046
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.7,1.8)",0.09004
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.8,1.9)",0.06846
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[1.9,2.0)",0.05802
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.0,2.1)",0.0485
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.1,2.2)",0.04596
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.2,2.3)",0.04296
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.3,2.4)",0.03934
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.4,2.5)",0.03042
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.5,2.6)",0.02074
"HHS Region 1",2013-03-24,1,2013-03-31,"pmf","[2.6,2.7)",0.01238
