"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.0,0.1)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.1,0.2)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.2,0.3)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.3,0.4)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.4,0.5)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.5,0.6)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.6,0.7)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.7,0.8)",2e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.8,0.9)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[0.9,1.0)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.0,1.1)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.1,1.2)",2e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.2,1.3)",0.00044
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.3,1.4)",0.00462
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.4,1.5)",0.01746
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.5,1.6)",0.00948
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.6,1.7)",0.00226
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.7,1.8)",0.00576
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.8,1.9)",0.0114
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[1.9,2.0)",0.02412
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.0,2.1)",0.04164
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.1,2.2)",0.03938
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.2,2.3)",0.04008
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.3,2.4)",0.03846
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.4,2.5)",0.032
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.5,2.6)",0.0392
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.6,2.7)",0.04606
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.7,2.8)",0.03746
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.8,2.9)",0.02688
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[2.9,3.0)",0.02934
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.0,3.1)",0.0389
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.1,3.2)",0.04476
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.2,3.3)",0.04712
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.3,3.4)",0.04286
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.4,3.5)",0.04068
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.5,3.6)",0.03396
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.6,3.7)",0.0283
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.7,3.8)",0.02538
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.8,3.9)",0.02484
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[3.9,4.0)",0.02344
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.0,4.1)",0.0233
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.1,4.2)",0.01988
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.2,4.3)",0.01758
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.3,4.4)",0.01326
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.4,4.5)",0.01162
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.5,4.6)",0.01116
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.6,4.7)",0.0108
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.7,4.8)",0.01082
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.8,4.9)",0.01272
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[4.9,5.0)",0.01284
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.0,5.1)",0.01208
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.1,5.2)",0.01028
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.2,5.3)",0.00764
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.3,5.4)",0.005
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.4,5.5)",0.00304
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.5,5.6)",0.00154
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.6,5.7)",9e-04
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.7,5.8)",0.00048
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.8,5.9)",0.00028
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[5.9,6.0)",8e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.0,6.1)",4e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.1,6.2)",6e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.2,6.3)",0.00012
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.3,6.4)",8e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.4,6.5)",8e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.5,6.6)",1e-04
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.6,6.7)",0.00014
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.7,6.8)",0.00012
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.8,6.9)",6e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[6.9,7.0)",4e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.0,7.1)",4e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.1,7.2)",2e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.2,7.3)",2e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.3,7.4)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.4,7.5)",2e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.5,7.6)",6e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.6,7.7)",0.00018
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.7,7.8)",0.00014
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.8,7.9)",0.00028
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[7.9,8.0)",0.00082
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.0,8.1)",0.00102
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.1,8.2)",0.00094
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.2,8.3)",0.0013
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.3,8.4)",0.00154
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.4,8.5)",0.00194
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.5,8.6)",0.002
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.6,8.7)",0.00184
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.7,8.8)",0.00138
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.8,8.9)",0.00126
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[8.9,9.0)",0.00084
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.0,9.1)",0.00058
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.1,9.2)",5e-04
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.2,9.3)",4e-04
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.3,9.4)",0.00016
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.4,9.5)",8e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.5,9.6)",1e-04
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.6,9.7)",8e-05
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.7,9.8)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.8,9.9)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[9.9,10.0)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.0,10.1)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.1,10.2)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.2,10.3)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.3,10.4)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.4,10.5)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.5,10.6)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.6,10.7)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.7,10.8)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.8,10.9)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[10.9,11.0)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.0,11.1)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.1,11.2)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.2,11.3)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.3,11.4)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.4,11.5)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.5,11.6)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.6,11.7)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.7,11.8)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.8,11.9)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[11.9,12.0)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.0,12.1)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.1,12.2)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.2,12.3)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.3,12.4)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.4,12.5)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.5,12.6)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.6,12.7)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.7,12.8)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.8,12.9)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[12.9,13.0)",0
"HHS Region 1",2017-01-01,1,2017-01-08,"pmf","[13.0,100.0)",0
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.0,0.1)",0
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.1,0.2)",0
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.2,0.3)",0
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.3,0.4)",0
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.4,0.5)",0
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.5,0.6)",0
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.6,0.7)",0.00168
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.7,0.8)",0.0143
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.8,0.9)",0.00304
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[0.9,1.0)",0.00118
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.0,1.1)",0.00172
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.1,1.2)",0.00144
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.2,1.3)",0.00234
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.3,1.4)",0.00662
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.4,1.5)",0.0252
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.5,1.6)",0.04192
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.6,1.7)",0.03262
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.7,1.8)",0.01932
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.8,1.9)",0.02102
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[1.9,2.0)",0.02618
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[2.0,2.1)",0.03022
"HHS Region 1",2017-01-01,2,2017-01-15,"pmf","[2.1,2.2)",0.02528
