"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2012-03-11,1,2012-03-18,"pmf","[0.0,0.1)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[0.1,0.2)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[0.2,0.3)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[0.3,0.4)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[0.4,0.5)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[0.5,0.6)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[0.6,0.7)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[0.7,0.8)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[0.8,0.9)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[0.9,1.0)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.0,1.1)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.1,1.2)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.2,1.3)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.3,1.4)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.4,1.5)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.5,1.6)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.6,1.7)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.7,1.8)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.8,1.9)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[1.9,2.0)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[2.0,2.1)",0.0148377934138732
"US National",2012-03-11,1,2012-03-18,"pmf","[2.1,2.2)",0.241955365139282
"US National",2012-03-11,1,2012-03-18,"pmf","[2.2,2.3)",0.552598387565648
"US National",2012-03-11,1,2012-03-18,"pmf","[2.3,2.4)",0.170527456724757
"US National",2012-03-11,1,2012-03-18,"pmf","[2.4,2.5)",0.0196625534470187
"US National",2012-03-11,1,2012-03-18,"pmf","[2.5,2.6)",0.00041840427044865
"US National",2012-03-11,1,2012-03-18,"pmf","[2.6,2.7)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[2.7,2.8)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[2.8,2.9)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[2.9,3.0)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[3.0,3.1)",0
"US National",2012-03-11,1,2012-03-18,"pmf","[3.1,3.2)",0
