"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0,0.1)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0.1,0.2)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0.2,0.3)",0.028
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0.3,0.4)",0.062
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0.4,0.5)",0.21
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0.5,0.6)",0.322
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0.6,0.7)",0.232
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0.7,0.8)",0.076
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0.8,0.9)",0.03
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[0.9,1)",0.022
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1,1.1)",0.01
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1.1,1.2)",0.004
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1.2,1.3)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1.3,1.4)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1.4,1.5)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1.5,1.6)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1.6,1.7)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1.7,1.8)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1.8,1.9)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[1.9,2)",0.002
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[2,2.1)",0.002
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[2.1,2.2)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[2.2,2.3)",0
"HHS Region 1","2010-10-03",1,"2010-10-10","pmf","[2.3,2.4)",0
