"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.0,0.1)",0
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.1,0.2)",0
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.2,0.3)",0
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.3,0.4)",0.00014
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.4,0.5)",2e-05
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.5,0.6)",2e-04
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.6,0.7)",0.00912
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.7,0.8)",0.06498
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.8,0.9)",0.0254
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[0.9,1.0)",0.0378
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.0,1.1)",0.07632
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.1,1.2)",0.09396
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.2,1.3)",0.11144
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.3,1.4)",0.11394
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.4,1.5)",0.0919
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.5,1.6)",0.09542
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.6,1.7)",0.08282
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.7,1.8)",0.04506
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.8,1.9)",0.0271
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[1.9,2.0)",0.0268
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.0,2.1)",0.02638
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.1,2.2)",0.0194
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.2,2.3)",0.0137
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.3,2.4)",0.0088
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.4,2.5)",0.00644
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.5,2.6)",0.00452
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.6,2.7)",0.00388
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.7,2.8)",0.00272
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.8,2.9)",0.00252
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[2.9,3.0)",0.00096
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.0,3.1)",0.00074
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.1,3.2)",0.00036
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.2,3.3)",0.00022
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.3,3.4)",0.00032
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.4,3.5)",0.00026
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.5,3.6)",0.00082
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.6,3.7)",0.00122
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.7,3.8)",0.00116
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.8,3.9)",9e-04
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[3.9,4.0)",0.00088
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[4.0,4.1)",0.00052
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[4.1,4.2)",0.00026
"HHS Region 1",2014-04-20,1,2014-04-27,"pmf","[4.2,4.3)",4e-05
