"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National","2018-02-25",1,"2018-03-04","pmf","[5,5.1)",2e-04
"US National","2018-02-25",1,"2018-03-04","pmf","[5.1,5.2)",9.99999999999999e-05
"US National","2018-02-25",1,"2018-03-04","pmf","[5.2,5.3)",9.99999999999999e-05
"US National","2018-02-25",1,"2018-03-04","pmf","[5.3,5.4)",2e-04
"US National","2018-02-25",1,"2018-03-04","pmf","[5.4,5.5)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[5.5,5.6)",9.99999999999999e-05
"US National","2018-02-25",1,"2018-03-04","pmf","[5.6,5.7)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[5.7,5.8)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[5.8,5.9)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[5.9,6)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6,6.1)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6.1,6.2)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6.2,6.3)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6.3,6.4)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6.4,6.5)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6.5,6.6)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6.6,6.7)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6.7,6.8)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6.8,6.9)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[6.9,7)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7,7.1)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7.1,7.2)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7.2,7.3)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7.3,7.4)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7.4,7.5)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7.5,7.6)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7.6,7.7)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7.7,7.8)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7.8,7.9)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[7.9,8)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8,8.1)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8.1,8.2)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8.2,8.3)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8.3,8.4)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8.4,8.5)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8.5,8.6)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8.6,8.7)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8.7,8.8)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8.8,8.9)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[8.9,9)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9,9.1)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9.1,9.2)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9.2,9.3)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9.3,9.4)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9.4,9.5)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9.5,9.6)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9.6,9.7)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9.7,9.8)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9.8,9.9)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[9.9,10)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10,10.1)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10.1,10.2)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10.2,10.3)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10.3,10.4)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10.4,10.5)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10.5,10.6)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10.6,10.7)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10.7,10.8)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10.8,10.9)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[10.9,11)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11,11.1)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11.1,11.2)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11.2,11.3)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11.3,11.4)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11.4,11.5)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11.5,11.6)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11.6,11.7)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11.7,11.8)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11.8,11.9)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[11.9,12)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12,12.1)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12.1,12.2)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12.2,12.3)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12.3,12.4)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12.4,12.5)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12.5,12.6)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12.6,12.7)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12.7,12.8)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12.8,12.9)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[12.9,13)",0
"US National","2018-02-25",1,"2018-03-04","pmf","[13,100)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0,0.1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0.1,0.2)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0.2,0.3)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0.3,0.4)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0.4,0.5)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0.5,0.6)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0.6,0.7)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0.7,0.8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0.8,0.9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[0.9,1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[1,1.1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[1.1,1.2)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[1.2,1.3)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[1.3,1.4)",9.99999999999999e-05
"US National","2018-02-25",2,"2018-03-11","pmf","[1.4,1.5)",4e-04
"US National","2018-02-25",2,"2018-03-11","pmf","[1.5,1.6)",0.0016
"US National","2018-02-25",2,"2018-03-11","pmf","[1.6,1.7)",0.0026
"US National","2018-02-25",2,"2018-03-11","pmf","[1.7,1.8)",0.0058
"US National","2018-02-25",2,"2018-03-11","pmf","[1.8,1.9)",0.0124
"US National","2018-02-25",2,"2018-03-11","pmf","[1.9,2)",0.0175
"US National","2018-02-25",2,"2018-03-11","pmf","[2,2.1)",0.0239
"US National","2018-02-25",2,"2018-03-11","pmf","[2.1,2.2)",0.0397
"US National","2018-02-25",2,"2018-03-11","pmf","[2.2,2.3)",0.0463
"US National","2018-02-25",2,"2018-03-11","pmf","[2.3,2.4)",0.0584
"US National","2018-02-25",2,"2018-03-11","pmf","[2.4,2.5)",0.0682
"US National","2018-02-25",2,"2018-03-11","pmf","[2.5,2.6)",0.0765
"US National","2018-02-25",2,"2018-03-11","pmf","[2.6,2.7)",0.0765
"US National","2018-02-25",2,"2018-03-11","pmf","[2.7,2.8)",0.075
"US National","2018-02-25",2,"2018-03-11","pmf","[2.8,2.9)",0.0716
"US National","2018-02-25",2,"2018-03-11","pmf","[2.9,3)",0.0686
"US National","2018-02-25",2,"2018-03-11","pmf","[3,3.1)",0.0655
"US National","2018-02-25",2,"2018-03-11","pmf","[3.1,3.2)",0.0477
"US National","2018-02-25",2,"2018-03-11","pmf","[3.2,3.3)",0.0459
"US National","2018-02-25",2,"2018-03-11","pmf","[3.3,3.4)",0.0404
"US National","2018-02-25",2,"2018-03-11","pmf","[3.4,3.5)",0.0321
"US National","2018-02-25",2,"2018-03-11","pmf","[3.5,3.6)",0.0281
"US National","2018-02-25",2,"2018-03-11","pmf","[3.6,3.7)",0.0225
"US National","2018-02-25",2,"2018-03-11","pmf","[3.7,3.8)",0.0185
"US National","2018-02-25",2,"2018-03-11","pmf","[3.8,3.9)",0.0126
"US National","2018-02-25",2,"2018-03-11","pmf","[3.9,4)",0.0111
"US National","2018-02-25",2,"2018-03-11","pmf","[4,4.1)",0.0092
"US National","2018-02-25",2,"2018-03-11","pmf","[4.1,4.2)",0.006
"US National","2018-02-25",2,"2018-03-11","pmf","[4.2,4.3)",0.004
"US National","2018-02-25",2,"2018-03-11","pmf","[4.3,4.4)",0.0039
"US National","2018-02-25",2,"2018-03-11","pmf","[4.4,4.5)",0.0021
"US National","2018-02-25",2,"2018-03-11","pmf","[4.5,4.6)",0.0013
"US National","2018-02-25",2,"2018-03-11","pmf","[4.6,4.7)",8e-04
"US National","2018-02-25",2,"2018-03-11","pmf","[4.7,4.8)",5e-04
"US National","2018-02-25",2,"2018-03-11","pmf","[4.8,4.9)",7e-04
"US National","2018-02-25",2,"2018-03-11","pmf","[4.9,5)",5e-04
"US National","2018-02-25",2,"2018-03-11","pmf","[5,5.1)",5e-04
"US National","2018-02-25",2,"2018-03-11","pmf","[5.1,5.2)",3e-04
"US National","2018-02-25",2,"2018-03-11","pmf","[5.2,5.3)",2e-04
"US National","2018-02-25",2,"2018-03-11","pmf","[5.3,5.4)",9.99999999999999e-05
"US National","2018-02-25",2,"2018-03-11","pmf","[5.4,5.5)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[5.5,5.6)",2e-04
"US National","2018-02-25",2,"2018-03-11","pmf","[5.6,5.7)",9.99999999999999e-05
"US National","2018-02-25",2,"2018-03-11","pmf","[5.7,5.8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[5.8,5.9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[5.9,6)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[6,6.1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[6.1,6.2)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[6.2,6.3)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[6.3,6.4)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[6.4,6.5)",9.99999999999999e-05
"US National","2018-02-25",2,"2018-03-11","pmf","[6.5,6.6)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[6.6,6.7)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[6.7,6.8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[6.8,6.9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[6.9,7)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7,7.1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7.1,7.2)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7.2,7.3)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7.3,7.4)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7.4,7.5)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7.5,7.6)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7.6,7.7)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7.7,7.8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7.8,7.9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[7.9,8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8,8.1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8.1,8.2)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8.2,8.3)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8.3,8.4)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8.4,8.5)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8.5,8.6)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8.6,8.7)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8.7,8.8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8.8,8.9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[8.9,9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9,9.1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9.1,9.2)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9.2,9.3)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9.3,9.4)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9.4,9.5)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9.5,9.6)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9.6,9.7)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9.7,9.8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9.8,9.9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[9.9,10)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10,10.1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10.1,10.2)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10.2,10.3)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10.3,10.4)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10.4,10.5)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10.5,10.6)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10.6,10.7)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10.7,10.8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10.8,10.9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[10.9,11)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11,11.1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11.1,11.2)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11.2,11.3)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11.3,11.4)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11.4,11.5)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11.5,11.6)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11.6,11.7)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11.7,11.8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11.8,11.9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[11.9,12)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12,12.1)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12.1,12.2)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12.2,12.3)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12.3,12.4)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12.4,12.5)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12.5,12.6)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12.6,12.7)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12.7,12.8)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12.8,12.9)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[12.9,13)",0
"US National","2018-02-25",2,"2018-03-11","pmf","[13,100)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0,0.1)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0.1,0.2)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0.2,0.3)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0.3,0.4)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0.4,0.5)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0.5,0.6)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0.6,0.7)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0.7,0.8)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0.8,0.9)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[0.9,1)",1e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[1,1.1)",2e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[1.1,1.2)",0.0012
"US National","2018-02-25",3,"2018-03-18","pmf","[1.2,1.3)",0.0029
"US National","2018-02-25",3,"2018-03-18","pmf","[1.3,1.4)",0.0057
"US National","2018-02-25",3,"2018-03-18","pmf","[1.4,1.5)",0.0104
"US National","2018-02-25",3,"2018-03-18","pmf","[1.5,1.6)",0.0175
"US National","2018-02-25",3,"2018-03-18","pmf","[1.6,1.7)",0.0264
"US National","2018-02-25",3,"2018-03-18","pmf","[1.7,1.8)",0.0326
"US National","2018-02-25",3,"2018-03-18","pmf","[1.8,1.9)",0.043
"US National","2018-02-25",3,"2018-03-18","pmf","[1.9,2)",0.0528
"US National","2018-02-25",3,"2018-03-18","pmf","[2,2.1)",0.0659
"US National","2018-02-25",3,"2018-03-18","pmf","[2.1,2.2)",0.0627
"US National","2018-02-25",3,"2018-03-18","pmf","[2.2,2.3)",0.0716
"US National","2018-02-25",3,"2018-03-18","pmf","[2.3,2.4)",0.0665
"US National","2018-02-25",3,"2018-03-18","pmf","[2.4,2.5)",0.0653
"US National","2018-02-25",3,"2018-03-18","pmf","[2.5,2.6)",0.0625
"US National","2018-02-25",3,"2018-03-18","pmf","[2.6,2.7)",0.0634
"US National","2018-02-25",3,"2018-03-18","pmf","[2.7,2.8)",0.0476
"US National","2018-02-25",3,"2018-03-18","pmf","[2.8,2.9)",0.0498
"US National","2018-02-25",3,"2018-03-18","pmf","[2.9,3)",0.0433
"US National","2018-02-25",3,"2018-03-18","pmf","[3,3.1)",0.038
"US National","2018-02-25",3,"2018-03-18","pmf","[3.1,3.2)",0.0294
"US National","2018-02-25",3,"2018-03-18","pmf","[3.2,3.3)",0.0261
"US National","2018-02-25",3,"2018-03-18","pmf","[3.3,3.4)",0.0237
"US National","2018-02-25",3,"2018-03-18","pmf","[3.4,3.5)",0.0181
"US National","2018-02-25",3,"2018-03-18","pmf","[3.5,3.6)",0.0147
"US National","2018-02-25",3,"2018-03-18","pmf","[3.6,3.7)",0.012
"US National","2018-02-25",3,"2018-03-18","pmf","[3.7,3.8)",0.0106
"US National","2018-02-25",3,"2018-03-18","pmf","[3.8,3.9)",0.0085
"US National","2018-02-25",3,"2018-03-18","pmf","[3.9,4)",0.006
"US National","2018-02-25",3,"2018-03-18","pmf","[4,4.1)",0.0042
"US National","2018-02-25",3,"2018-03-18","pmf","[4.1,4.2)",0.0036
"US National","2018-02-25",3,"2018-03-18","pmf","[4.2,4.3)",0.0024
"US National","2018-02-25",3,"2018-03-18","pmf","[4.3,4.4)",0.003
"US National","2018-02-25",3,"2018-03-18","pmf","[4.4,4.5)",0.0021
"US National","2018-02-25",3,"2018-03-18","pmf","[4.5,4.6)",0.001
"US National","2018-02-25",3,"2018-03-18","pmf","[4.6,4.7)",6e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[4.7,4.8)",8e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[4.8,4.9)",0.001
"US National","2018-02-25",3,"2018-03-18","pmf","[4.9,5)",5e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[5,5.1)",7e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[5.1,5.2)",6e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[5.2,5.3)",3e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[5.3,5.4)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[5.4,5.5)",2e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[5.5,5.6)",1e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[5.6,5.7)",2e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[5.7,5.8)",1e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[5.8,5.9)",1e-04
"US National","2018-02-25",3,"2018-03-18","pmf","[5.9,6)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6,6.1)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6.1,6.2)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6.2,6.3)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6.3,6.4)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6.4,6.5)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6.5,6.6)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6.6,6.7)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6.7,6.8)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6.8,6.9)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[6.9,7)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7,7.1)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7.1,7.2)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7.2,7.3)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7.3,7.4)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7.4,7.5)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7.5,7.6)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7.6,7.7)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7.7,7.8)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7.8,7.9)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[7.9,8)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8,8.1)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8.1,8.2)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8.2,8.3)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8.3,8.4)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8.4,8.5)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8.5,8.6)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8.6,8.7)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8.7,8.8)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8.8,8.9)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[8.9,9)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9,9.1)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9.1,9.2)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9.2,9.3)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9.3,9.4)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9.4,9.5)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9.5,9.6)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9.6,9.7)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9.7,9.8)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9.8,9.9)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[9.9,10)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[10,10.1)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[10.1,10.2)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[10.2,10.3)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[10.3,10.4)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[10.4,10.5)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[10.5,10.6)",0
"US National","2018-02-25",3,"2018-03-18","pmf","[10.6,10.7)",0
