"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2011-01-02,1,2011-01-09,"pmf","[0.0,0.1)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[0.1,0.2)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[0.2,0.3)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[0.3,0.4)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[0.4,0.5)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[0.5,0.6)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[0.6,0.7)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[0.7,0.8)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[0.8,0.9)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[0.9,1.0)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[1.0,1.1)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[1.1,1.2)",0
"US National",2011-01-02,1,2011-01-09,"pmf","[1.2,1.3)",2e-04
"US National",2011-01-02,1,2011-01-09,"pmf","[1.3,1.4)",6e-04
"US National",2011-01-02,1,2011-01-09,"pmf","[1.4,1.5)",0.0029
"US National",2011-01-02,1,2011-01-09,"pmf","[1.5,1.6)",0.0111
"US National",2011-01-02,1,2011-01-09,"pmf","[1.6,1.7)",0.0217
"US National",2011-01-02,1,2011-01-09,"pmf","[1.7,1.8)",0.0419
"US National",2011-01-02,1,2011-01-09,"pmf","[1.8,1.9)",0.0662
"US National",2011-01-02,1,2011-01-09,"pmf","[1.9,2.0)",0.0797
"US National",2011-01-02,1,2011-01-09,"pmf","[2.0,2.1)",0.1073
"US National",2011-01-02,1,2011-01-09,"pmf","[2.1,2.2)",0.1089
"US National",2011-01-02,1,2011-01-09,"pmf","[2.2,2.3)",0.1105
"US National",2011-01-02,1,2011-01-09,"pmf","[2.3,2.4)",0.0994
"US National",2011-01-02,1,2011-01-09,"pmf","[2.4,2.5)",0.0852
