"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2010-11-14,1,2010-11-21,"pmf","[0.0,0.1)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[0.1,0.2)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[0.2,0.3)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[0.3,0.4)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[0.4,0.5)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[0.5,0.6)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[0.6,0.7)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[0.7,0.8)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[0.8,0.9)",3e-04
"US National",2010-11-14,1,2010-11-21,"pmf","[0.9,1.0)",0.004
"US National",2010-11-14,1,2010-11-21,"pmf","[1.0,1.1)",0.0177
"US National",2010-11-14,1,2010-11-21,"pmf","[1.1,1.2)",0.0479
"US National",2010-11-14,1,2010-11-21,"pmf","[1.2,1.3)",0.0974
"US National",2010-11-14,1,2010-11-21,"pmf","[1.3,1.4)",0.1388
"US National",2010-11-14,1,2010-11-21,"pmf","[1.4,1.5)",0.1585
"US National",2010-11-14,1,2010-11-21,"pmf","[1.5,1.6)",0.1548
"US National",2010-11-14,1,2010-11-21,"pmf","[1.6,1.7)",0.1284
"US National",2010-11-14,1,2010-11-21,"pmf","[1.7,1.8)",0.098
"US National",2010-11-14,1,2010-11-21,"pmf","[1.8,1.9)",0.0704
"US National",2010-11-14,1,2010-11-21,"pmf","[1.9,2.0)",0.04
"US National",2010-11-14,1,2010-11-21,"pmf","[2.0,2.1)",0.0223
"US National",2010-11-14,1,2010-11-21,"pmf","[2.1,2.2)",0.0105
"US National",2010-11-14,1,2010-11-21,"pmf","[2.2,2.3)",0.0058
"US National",2010-11-14,1,2010-11-21,"pmf","[2.3,2.4)",0.003
"US National",2010-11-14,1,2010-11-21,"pmf","[2.4,2.5)",0.0017
"US National",2010-11-14,1,2010-11-21,"pmf","[2.5,2.6)",2e-04
"US National",2010-11-14,1,2010-11-21,"pmf","[2.6,2.7)",9.99999999999999e-05
"US National",2010-11-14,1,2010-11-21,"pmf","[2.7,2.8)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[2.8,2.9)",9.99999999999999e-05
"US National",2010-11-14,1,2010-11-21,"pmf","[2.9,3.0)",9.99999999999999e-05
"US National",2010-11-14,1,2010-11-21,"pmf","[3.0,3.1)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[3.1,3.2)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[3.2,3.3)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[3.3,3.4)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[3.4,3.5)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[3.5,3.6)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[3.6,3.7)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[3.7,3.8)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[3.8,3.9)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[3.9,4.0)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[4.0,4.1)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[4.1,4.2)",0
"US National",2010-11-14,1,2010-11-21,"pmf","[4.2,4.3)",0
