"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2014-03-23,1,2014-03-30,"pmf","[0.0,0.1)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[0.1,0.2)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[0.2,0.3)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[0.3,0.4)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[0.4,0.5)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[0.5,0.6)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[0.6,0.7)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[0.7,0.8)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[0.8,0.9)",3e-04
"US National",2014-03-23,1,2014-03-30,"pmf","[0.9,1.0)",0.0012
"US National",2014-03-23,1,2014-03-30,"pmf","[1.0,1.1)",0.0113
"US National",2014-03-23,1,2014-03-30,"pmf","[1.1,1.2)",0.0389
"US National",2014-03-23,1,2014-03-30,"pmf","[1.2,1.3)",0.082
"US National",2014-03-23,1,2014-03-30,"pmf","[1.3,1.4)",0.1327
"US National",2014-03-23,1,2014-03-30,"pmf","[1.4,1.5)",0.178
"US National",2014-03-23,1,2014-03-30,"pmf","[1.5,1.6)",0.1756
"US National",2014-03-23,1,2014-03-30,"pmf","[1.6,1.7)",0.1442
"US National",2014-03-23,1,2014-03-30,"pmf","[1.7,1.8)",0.1003
"US National",2014-03-23,1,2014-03-30,"pmf","[1.8,1.9)",0.0663
"US National",2014-03-23,1,2014-03-30,"pmf","[1.9,2.0)",0.036
"US National",2014-03-23,1,2014-03-30,"pmf","[2.0,2.1)",0.0176
"US National",2014-03-23,1,2014-03-30,"pmf","[2.1,2.2)",0.0088
"US National",2014-03-23,1,2014-03-30,"pmf","[2.2,2.3)",0.0037
"US National",2014-03-23,1,2014-03-30,"pmf","[2.3,2.4)",0.0021
"US National",2014-03-23,1,2014-03-30,"pmf","[2.4,2.5)",8e-04
"US National",2014-03-23,1,2014-03-30,"pmf","[2.5,2.6)",2e-04
"US National",2014-03-23,1,2014-03-30,"pmf","[2.6,2.7)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[2.7,2.8)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[2.8,2.9)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[2.9,3.0)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.0,3.1)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.1,3.2)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.2,3.3)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.3,3.4)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.4,3.5)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.5,3.6)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.6,3.7)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.7,3.8)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.8,3.9)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[3.9,4.0)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.0,4.1)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.1,4.2)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.2,4.3)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.3,4.4)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.4,4.5)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.5,4.6)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.6,4.7)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.7,4.8)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.8,4.9)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[4.9,5.0)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[5.0,5.1)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[5.1,5.2)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[5.2,5.3)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[5.3,5.4)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[5.4,5.5)",0
"US National",2014-03-23,1,2014-03-30,"pmf","[5.5,5.6)",0
