"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2014-02-09,1,2014-02-16,"pmf","[0.0,0.1)",2.29715994309582e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[0.1,0.2)",2.27913501547987e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[0.2,0.3)",2.29667317973595e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[0.3,0.4)",2.28649894920694e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[0.4,0.5)",2.27967856140797e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[0.5,0.6)",2.27621201936286e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[0.6,0.7)",2.30081653828491e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[0.7,0.8)",2.32282936887916e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[0.8,0.9)",2.29121313835452e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[0.9,1.0)",2.27189986418014e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.0,1.1)",2.25407945738074e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.1,1.2)",2.24655343951605e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.2,1.3)",2.2679075293717e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.3,1.4)",2.30537221443437e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.4,1.5)",2.32064740169459e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.5,1.6)",2.29519636020502e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.6,1.7)",2.27792705562084e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.7,1.8)",2.26215061840801e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.8,1.9)",2.24786704856748e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[1.9,2.0)",2.2527901477404e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[2.0,2.1)",2.28765510309743e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[2.1,2.2)",0.0160530854111536
"US National",2014-02-09,1,2014-02-16,"pmf","[2.2,2.3)",0.326301904527481
"US National",2014-02-09,1,2014-02-16,"pmf","[2.3,2.4)",0.415267941246694
"US National",2014-02-09,1,2014-02-16,"pmf","[2.4,2.5)",0.149203258169349
"US National",2014-02-09,1,2014-02-16,"pmf","[2.5,2.6)",0.0891312389936788
"US National",2014-02-09,1,2014-02-16,"pmf","[2.6,2.7)",0.00118975848132708
"US National",2014-02-09,1,2014-02-16,"pmf","[2.7,2.8)",2.31996655485494e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[2.8,2.9)",2.30344261751821e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[2.9,3.0)",2.27848280043731e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.0,3.1)",2.2590805330525e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.1,3.2)",2.266863745813e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.2,3.3)",2.2731940679137e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.3,3.4)",2.27411953495755e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.4,3.5)",2.33285697783187e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.5,3.6)",2.3071964782694e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.6,3.7)",2.28667360081129e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.7,3.8)",2.26931530302201e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.8,3.9)",2.25344987261908e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[3.9,4.0)",2.23907732012935e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.0,4.1)",2.22909499738689e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.1,4.2)",2.32108738094749e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.2,4.3)",2.32065502129475e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.3,4.4)",2.30177932980382e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.4,4.5)",2.28785139624521e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.5,4.6)",2.27727730542175e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.6,4.7)",2.27005705857192e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.7,4.8)",2.27758638953801e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.8,4.9)",2.31896750334672e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[4.9,5.0)",2.28516083153494e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.0,5.1)",2.26958759198298e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.1,5.2)",2.28467640137486e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.2,5.3)",2.27869424728237e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.3,5.4)",2.27606593829268e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.4,5.5)",2.29639346848563e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.5,5.6)",2.32780412678659e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.6,5.7)",2.29551524084763e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.7,5.8)",2.27657508248499e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.8,5.9)",2.25912779149048e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[5.9,6.0)",2.24317336788231e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.0,6.1)",2.2435455564429e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.1,6.2)",2.29524277540691e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.2,6.3)",2.32112584730599e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.3,6.4)",2.29681291226058e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.4,6.5)",2.27991672347526e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.5,6.6)",2.27975806615141e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.6,6.7)",2.26735638594254e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.7,6.8)",2.25993621052959e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.8,6.9)",2.2916739188047e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[6.9,7.0)",2.29696824198484e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.0,7.1)",2.29319753528461e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.1,7.2)",2.29394399158867e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.2,7.3)",2.28440806463163e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.3,7.4)",2.27822598039153e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.4,7.5)",2.27539774389506e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.5,7.6)",2.31854868429919e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.6,7.7)",2.31021768729465e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.7,7.8)",2.28392995678147e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.8,7.9)",2.2649008052136e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[7.9,8.0)",2.24736452105027e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.0,8.1)",2.26377704853717e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.1,8.2)",2.27051260804729e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.2,8.3)",2.32595906106061e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.3,8.4)",2.31076586554933e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.4,8.5)",2.28943520672866e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.5,8.6)",2.27245002473811e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.6,8.7)",2.25695771017032e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.7,8.8)",2.24295826291601e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.8,8.9)",2.24486686011634e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[8.9,9.0)",2.30324751685118e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[9.0,9.1)",2.32021635586911e-05
"US National",2014-02-09,1,2014-02-16,"pmf","[9.1,9.2)",2.3034252198195e-05
